Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
226,Stanley Johnson\johnsst04,SF,22,DET,18,7,23.7,3.4,8.3,.413,1.3,4.2,.303,2.2,4.1,.527,.490,1.3,1.6,.793,0.7,3.4,4.2,1.3,1.1,0.3,1.4,2.1,9.4
227,Tyler Johnson\johnsty01,PG,26,MIA,16,0,27.2,4.2,9.6,.435,1.4,4.3,.324,2.8,5.4,.523,.506,1.7,2.4,.711,0.6,2.6,3.3,2.4,1.0,0.6,1.6,2.1,11.4
228,Wesley Johnson\johnswe01,SF,31,NOP,17,12,18.4,1.8,4.1,.435,1.0,2.4,.425,0.8,1.7,.448,.558,0.3,0.4,.833,0.6,2.2,2.8,0.9,0.5,0.4,0.6,2.1,4.8
229,Nikola Jokic\jokicni01,C,23,DEN,22,22,29.5,6.0,12.6,.473,1.1,3.6,.316,4.8,9.0,.535,.518,3.3,4.0,.830,2.4,7.2,9.6,7.2,1.3,0.8,2.9,3.1,16.4
230,Damian Jones\jonesda03,C,23,GSW,23,21,17.0,2.2,2.9,.746,0.0,0.0,,2.2,2.9,.746,.746,0.9,1.4,.636,1.2,1.8,3.0,1.1,0.5,1.1,0.7,2.7,5.3
231,Derrick Jones\jonesde02,SF,21,MIA,13,4,14.4,1.8,4.8,.381,0.4,1.2,.313,1.5,3.6,.404,.421,0.8,1.2,.667,1.2,1.7,2.8,0.5,0.3,0.5,0.8,1.8,4.8
232,Tyus Jones\jonesty01,PG,22,MIN,21,2,18.5,1.8,5.3,.342,0.6,2.1,.289,1.2,3.1,.379,.401,0.5,0.7,.714,0.2,1.4,1.7,3.0,1.1,0.0,0.5,0.9,4.7
233,DeAndre Jordan\jordade01,C,30,DAL,20,20,31.8,4.1,6.4,.633,0.0,0.0,,4.1,6.4,.633,.633,3.2,4.2,.771,2.6,10.7,13.2,2.3,0.6,1.1,2.5,2.8,11.3
234,Cory Joseph\josepco01,PG,27,IND,22,0,26.3,3.0,6.6,.462,1.0,2.2,.438,2.1,4.4,.474,.534,0.2,0.4,.444,0.3,3.1,3.4,3.9,1.4,0.2,1.2,1.6,7.2
235,Frank Kaminsky\kaminfr01,PF,25,CHO,11,0,10.8,1.7,4.1,.422,0.5,1.7,.316,1.2,2.4,.500,.489,0.9,1.2,.769,0.5,2.3,2.8,1.1,0.4,0.2,0.9,0.8,4.9
236,Enes Kanter\kanteen01,C,26,NYK,23,11,27.6,6.2,11.6,.536,0.1,0.5,.273,6.1,11.1,.547,.541,2.7,3.3,.840,4.4,7.3,11.8,2.1,0.4,0.5,2.2,2.8,15.3
237,Luke Kennard\kennalu01,SG,22,DET,3,1,14.3,2.7,4.0,.667,0.3,0.7,.500,2.3,3.3,.700,.708,0.0,0.0,,0.0,1.7,1.7,1.0,0.3,0.3,0.3,0.7,5.7
238,Michael Kidd-Gilchrist\kiddgmi01,PF,25,CHO,16,0,20.1,3.4,6.6,.509,0.3,0.6,.400,3.1,6.0,.521,.528,1.6,2.2,.743,1.9,3.8,5.8,1.3,0.4,1.2,0.6,3.1,8.6
239,Maxi Kleber\klebima01,PF,27,DAL,19,0,18.6,2.3,5.0,.463,1.0,2.9,.339,1.3,2.1,.641,.563,0.8,1.1,.762,1.1,2.5,3.6,0.6,0.4,1.3,0.6,1.4,6.5
